datetime,windSp
1/2/22 10:29 AM,8.4
1/2/22 10:34 AM,8.5
1/2/22 10:39 AM,8.4
1/2/22 10:49 AM,8.1
1/2/22 10:54 AM,7.6
1/2/22 10:59 AM,7.9
1/2/22 11:04 AM,8.3
1/2/22 11:09 AM,8.1
1/2/22 11:14 AM,6.7
1/2/22 11:19 AM,7.7
1/2/22 11:24 AM,6.8
1/2/22 11:29 AM,7.1
1/2/22 11:34 AM,6.6
1/2/22 11:49 AM,7.2
1/2/22 11:53 AM,0
1/2/22 11:54 AM,6.1
1/2/22 11:57 AM,0
1/2/22 11:59 AM,7.1
1/2/22 12:04 PM,6.3
1/2/22 12:09 PM,6.5
1/2/22 12:14 PM,5.7
1/2/22 12:19 PM,5.3
1/2/22 12:24 PM,5.9
1/2/22 12:29 PM,5.6
1/2/22 12:34 PM,5.5
1/2/22 12:39 PM,5.8
1/2/22 12:44 PM,5.7
1/2/22 12:49 PM,4.8
1/2/22 12:54 PM,5.2
1/2/22 12:59 PM,5.4
1/2/22 1:04 PM,5.3
1/2/22 1:09 PM,4.3
1/2/22 1:14 PM,5
1/2/22 1:19 PM,4.2
1/2/22 1:24 PM,4.3
1/2/22 1:29 PM,4.9
1/2/22 1:44 PM,4.2
1/2/22 1:49 PM,3.2
1/2/22 1:54 PM,3.5
1/2/22 1:59 PM,2.5
1/2/22 2:04 PM,3.7
1/2/22 2:09 PM,2.9
1/2/22 2:14 PM,2.6
1/2/22 2:19 PM,2.2
1/2/22 2:24 PM,1.7
1/2/22 2:29 PM,3.2
1/2/22 2:34 PM,3.3
1/2/22 2:39 PM,2.2
1/2/22 2:44 PM,3.4
1/2/22 2:49 PM,2.6
1/2/22 2:54 PM,3.4
1/2/22 2:59 PM,3.9
1/2/22 3:04 PM,3.6
1/2/22 3:09 PM,2.8
1/2/22 3:14 PM,3
1/2/22 3:19 PM,1.6
1/2/22 3:24 PM,2.2
1/2/22 3:29 PM,1.5
1/2/22 3:34 PM,2.1
1/2/22 3:39 PM,1.5
1/2/22 3:44 PM,2.5
1/2/22 3:49 PM,2.6
1/2/22 3:54 PM,3
1/2/22 3:59 PM,2.4
1/2/22 4:04 PM,2.9
1/2/22 4:09 PM,4
1/2/22 4:14 PM,1.7
1/2/22 4:19 PM,2.4
1/2/22 4:24 PM,3
1/2/22 4:29 PM,5.6
1/2/22 4:34 PM,1.7
1/2/22 4:39 PM,4.7
1/2/22 4:44 PM,2.8
1/2/22 4:49 PM,4.8
1/2/22 4:54 PM,5.4
1/2/22 4:59 PM,3.8
1/2/22 5:04 PM,3.3
1/2/22 5:09 PM,6
1/2/22 5:14 PM,6.3
1/2/22 5:19 PM,6
1/2/22 5:24 PM,6.6
1/2/22 5:29 PM,7.8
1/2/22 5:34 PM,4.7
1/2/22 5:39 PM,8.2
1/2/22 5:44 PM,6.2
1/2/22 5:49 PM,4.3
1/2/22 5:54 PM,3.6
1/2/22 5:59 PM,3.1
1/2/22 6:04 PM,6.1
1/2/22 6:09 PM,5.2
1/2/22 6:14 PM,5.7
1/2/22 6:19 PM,3.8
1/2/22 6:24 PM,4.7
1/2/22 6:29 PM,5.6
1/2/22 6:34 PM,2.2
1/2/22 6:39 PM,5.2
1/2/22 6:44 PM,4.1
1/2/22 6:49 PM,5.1
1/2/22 6:54 PM,4.1
1/2/22 6:59 PM,2
1/2/22 7:04 PM,2.7
1/2/22 7:09 PM,4.8
1/2/22 7:14 PM,3.7
1/2/22 7:19 PM,2.2
1/2/22 7:24 PM,3.2
1/2/22 7:29 PM,4.2
1/2/22 7:34 PM,5.7
1/2/22 7:39 PM,3.5
1/2/22 7:44 PM,5.3
1/2/22 7:49 PM,3.9
1/2/22 7:54 PM,4.4
1/2/22 7:59 PM,6.3
