# Generated by ArchiveExport 2.9.2
# Method: Raw Data

# Time                       	pwfs2:dc:seeing [arcseco]	
03/01/2022 08:54:32.870852151	0	
03/02/2022 07:06:21.312342397	#N/A	Disconnected
03/02/2022 07:06:21.312351517	#N/A	Archive_Off
03/02/2022 07:06:29.934811617	0	
03/02/2022 09:13:22.959866706	#N/A	Disconnected
03/02/2022 09:13:24.364718543	0	
03/03/2022 07:06:17.094506170	#N/A	Disconnected
03/03/2022 07:06:17.094519754	#N/A	Archive_Off
03/03/2022 07:06:25.744234670	0	
03/03/2022 08:55:23.280744540	#N/A	Disconnected
03/03/2022 08:55:23.487616965	0	
03/03/2022 12:49:56.739132214	#N/A	Disconnected
03/03/2022 12:49:56.739145835	#N/A	Archive_Off
03/03/2022 14:56:18.623448289	0	
03/03/2022 15:05:12.569196970	#N/A	Disconnected
03/03/2022 15:05:12.569210236	#N/A	Archive_Off
03/03/2022 15:06:50.568634543	0	
03/03/2022 15:20:16.316461333	#N/A	Disconnected
03/03/2022 15:20:16.316470363	#N/A	Archive_Off
03/03/2022 15:21:24.687142473	0	
03/03/2022 15:53:46.638807678	#N/A	Disconnected
03/03/2022 15:53:46.638816262	#N/A	Archive_Off
03/03/2022 15:55:04.393994435	0	
03/04/2022 07:06:14.479835489	#N/A	Disconnected
03/04/2022 07:06:14.479844210	#N/A	Archive_Off
03/04/2022 07:06:23.160782387	0	
03/04/2022 11:39:40.738403102	#N/A	Disconnected
03/04/2022 11:39:40.738411631	#N/A	Archive_Off
03/04/2022 11:41:44.825705791	0	
03/04/2022 17:58:59.489471418	#N/A	Disconnected
03/04/2022 17:58:59.489480500	#N/A	Archive_Off
03/04/2022 18:13:23.842893065	0	
03/04/2022 18:18:45.671136041	#N/A	Disconnected
03/04/2022 18:18:45.671144132	#N/A	Archive_Off
03/04/2022 18:19:59.220565546	0	
03/05/2022 07:06:17.137293329	#N/A	Disconnected
03/05/2022 07:06:17.137301679	#N/A	Archive_Off
03/05/2022 07:06:25.739320685	0	
