fecha,hora,datetime,az_pos,top_shutter,bot. Shutter,eastVent_pos,westVent_pos,p2,wind,windDir
3/15/22,02:05:00,44635.08681,139,102.9,0.6,100,100,2.19,5.8,-0.1
3/15/22,02:10:00,44635.09028,13.4,102.9,0.6,100,100,0.94,5.6,260
