,datetime,fecha,windSp
143,44562.33958,1/1/22 8:09,5.4
144,44562.34306,1/1/22 8:14,5.8
145,44562.34653,1/1/22 8:19,7.4
146,44562.35,1/1/22 8:24,7.3
147,44562.35347,1/1/22 8:29,6.1
148,44562.35694,1/1/22 8:34,7.5
149,44562.36042,1/1/22 8:39,7.2
150,44562.36389,1/1/22 8:44,6.5
151,44562.367360000004,1/1/22 8:49,6.8
152,44562.37083,1/1/22 8:54,7.0
153,44562.37431,1/1/22 8:59,7.2
154,44562.37778,1/1/22 9:04,7.1
155,44562.38125,1/1/22 9:09,4.8
156,44562.38472,1/1/22 9:14,6.6
157,44562.38819,1/1/22 9:19,7.8
158,44562.39167,1/1/22 9:24,5.6
159,44562.39514,1/1/22 9:29,6.3
160,44562.398610000004,1/1/22 9:34,6.9
161,44562.40208,1/1/22 9:39,5.4
162,44562.40556,1/1/22 9:44,5.9
163,44562.40903,1/1/22 9:49,6.0
164,44562.4125,1/1/22 9:54,6.6
165,44562.41597,1/1/22 9:59,0.1
166,44562.41944,1/1/22 10:04,7.3
167,44562.42292,1/1/22 10:09,7.5
168,44562.43333,1/1/22 10:24,6.9
169,44562.43681,1/1/22 10:29,6.5
170,44562.44028,1/1/22 10:34,7.0
171,44562.44375,1/1/22 10:39,6.8
172,44562.44722,1/1/22 10:44,6.7
173,44562.45069,1/1/22 10:49,6.8
174,44562.45417,1/1/22 10:54,6.4
175,44562.45764,1/1/22 10:59,7.1
176,44562.461110000004,1/1/22 11:04,7.2
177,44562.46458,1/1/22 11:09,7.7
178,44562.46806,1/1/22 11:14,7.3
179,44562.47153,1/1/22 11:19,6.7
180,44562.475,1/1/22 11:24,6.9
181,44562.47847,1/1/22 11:29,6.6
182,44562.48194,1/1/22 11:34,7.2
183,44562.48542,1/1/22 11:39,7.6
184,44562.48889,1/1/22 11:44,7.0
185,44562.492360000004,1/1/22 11:49,4.4
186,44562.49583,1/1/22 11:54,7.0
187,44562.49931,1/1/22 11:59,6.6
188,44562.50278,1/1/22 12:04,5.4
189,44562.50625,1/1/22 12:09,5.1
190,44562.50972,1/1/22 12:14,7.2
191,44562.51319,1/1/22 12:19,6.9
192,44562.51667,1/1/22 12:24,6.5
193,44562.52708,1/1/22 12:39,5.5
194,44562.53056,1/1/22 12:44,7.0
195,44562.53403,1/1/22 12:49,5.2
196,44562.54444,1/1/22 13:04,5.0
197,44562.54792,1/1/22 13:09,0.1
198,44562.55139,1/1/22 13:14,5.8
199,44562.554860000004,1/1/22 13:19,0.1
200,44562.55833,1/1/22 13:24,6.5
201,44562.56181,1/1/22 13:29,7.0
202,44562.57222,1/1/22 13:44,7.5
203,44562.58264,1/1/22 13:59,6.7
204,44562.586110000004,1/1/22 14:04,7.6
205,44562.58958,1/1/22 14:09,7.4
206,44562.59306,1/1/22 14:14,7.0
207,44562.59653,1/1/22 14:19,7.3
208,44562.6,1/1/22 14:24,7.2
209,44562.60347,1/1/22 14:29,6.9
210,44562.60694,1/1/22 14:34,7.6
211,44562.61042,1/1/22 14:39,6.7
212,44562.61389,1/1/22 14:44,5.6
213,44562.617360000004,1/1/22 14:49,7.8
214,44562.63125,1/1/22 15:09,7.9
215,44562.63472,1/1/22 15:14,8.0
216,44562.63819,1/1/22 15:19,7.7
217,44562.64167,1/1/22 15:24,7.6
218,44562.64514,1/1/22 15:29,7.9
219,44562.648610000004,1/1/22 15:34,8.5
220,44562.65208,1/1/22 15:39,6.4
221,44562.65556,1/1/22 15:44,6.7
222,44562.65903,1/1/22 15:49,5.2
223,44562.6625,1/1/22 15:54,8.3
224,44562.66597,1/1/22 15:59,6.8
225,44562.66944,1/1/22 16:04,9.2
226,44562.67292,1/1/22 16:09,8.0
227,44562.67639,1/1/22 16:14,7.5
228,44562.679860000004,1/1/22 16:19,7.4
229,44562.68333,1/1/22 16:24,8.2
230,44562.68681,1/1/22 16:29,6.8
231,44562.69028,1/1/22 16:34,6.5
232,44562.69375,1/1/22 16:39,7.1
233,44562.69722,1/1/22 16:44,7.3
234,44562.70069,1/1/22 16:49,6.5
235,44562.70417,1/1/22 16:54,5.9
236,44562.70764,1/1/22 16:59,6.5
237,44562.711110000004,1/1/22 17:04,6.3
238,44562.71458,1/1/22 17:09,6.1
239,44562.71806,1/1/22 17:14,7.0
240,44562.72153,1/1/22 17:19,8.0
241,44562.725,1/1/22 17:24,7.6
242,44562.72847,1/1/22 17:29,9.2
243,44562.73194,1/1/22 17:34,5.6
244,44562.73542,1/1/22 17:39,5.9
245,44562.73889,1/1/22 17:44,7.3
246,44562.742360000004,1/1/22 17:49,8.9
247,44562.74583,1/1/22 17:54,6.2
248,44562.74931,1/1/22 17:59,7.3
249,44562.75278,1/1/22 18:04,5.0
250,44562.75625,1/1/22 18:09,5.9
251,44562.75972,1/1/22 18:14,8.3
252,44562.76319,1/1/22 18:19,8.4
253,44562.76667,1/1/22 18:24,6.6
254,44562.77014,1/1/22 18:29,7.4
255,44562.773610000004,1/1/22 18:34,8.7
256,44562.77708,1/1/22 18:39,4.7
257,44562.78056,1/1/22 18:44,8.3
258,44562.78403,1/1/22 18:49,5.3
259,44562.7875,1/1/22 18:54,3.0
260,44562.79097,1/1/22 18:59,6.6
261,44562.79444,1/1/22 19:04,7.7
262,44562.79792,1/1/22 19:09,6.7
263,44562.80139,1/1/22 19:14,7.3
264,44562.804860000004,1/1/22 19:19,7.8
265,44562.80833,1/1/22 19:24,6.6
266,44562.81181,1/1/22 19:29,6.0
267,44562.81528,1/1/22 19:34,6.7
268,44562.81875,1/1/22 19:39,7.7
269,44562.82222,1/1/22 19:44,6.2
270,44562.82569,1/1/22 19:49,8.3
271,44562.82917,1/1/22 19:54,5.0
272,44562.83264,1/1/22 19:59,6.4
273,44562.836110000004,1/1/22 20:04,5.7
274,44562.83958,1/1/22 20:09,5.4
275,44562.84306,1/1/22 20:14,5.8
276,44562.84653,1/1/22 20:19,6.3
277,44562.85,1/1/22 20:24,5.6
278,44562.85347,1/1/22 20:29,4.5
279,44562.85694,1/1/22 20:34,4.2
