,Datetime,ecs_az_pos
0,44561.875,0.0
1,44561.87569,0.0
2,44561.87639,0.0
3,44561.87708,0.0
4,44561.87778,0.0
5,44561.878469999996,0.0
6,44561.87917,0.0
7,44561.87986,0.0
8,44561.88056000001,0.0
9,44561.88125,0.0
10,44561.88194,0.0
11,44561.882639999996,0.0
12,44561.883330000004,0.0
13,44561.88403,0.0
14,44561.88472,0.0
15,44561.88542,0.0
16,44561.88611,0.0
17,44561.88681,0.0
18,44561.8875,0.0
19,44561.88819,0.0
20,44561.888889999995,0.0
21,44561.88958,0.0
22,44561.89028,0.0
23,44561.89097,0.0
24,44561.89167,0.0
25,44561.89236000001,0.0
26,44561.89306,0.0
27,44561.89375,0.0
28,44561.89444,0.0
29,44561.89514,0.0
30,44561.89583,0.0
31,44561.89653,0.0
32,44561.89722,0.0
33,44561.897919999996,0.0
34,44561.898610000004,0.0
35,44561.89931,0.0
36,44561.9,0.0
37,44561.900689999995,0.0
38,44561.90139,0.0
39,44561.90208,0.0
40,44561.902780000004,0.0
41,44561.90347,0.0
42,44561.90417,0.0
43,44561.90486,0.0
44,44561.90556,0.0
45,44561.90625,0.0
46,44561.90694,0.0
47,44561.90764,0.0
48,44561.90833,0.0
49,44561.90903,0.0
50,44561.909719999996,0.0
51,44561.91042,0.0
52,44561.91111,0.0
53,44561.91181000001,0.0
54,44561.9125,0.0
55,44561.91319,0.0
56,44561.913889999996,0.0
57,44561.914580000004,0.0
58,44561.91528,0.0
59,44561.91597,0.0
60,44561.91667,0.0
61,44561.91736,0.0
62,44561.91806,0.0
63,44561.91875,0.0
64,44561.91944,0.0
65,44561.920139999995,0.0
66,44561.92083,0.0
67,44561.92153,0.0
68,44561.92222,0.0
69,44561.92292,0.0
70,44561.92361000001,0.0
71,44561.92431,0.0
72,44561.925,0.0
73,44561.92569,0.0
74,44561.92639,0.0
75,44561.92708,0.0
76,44561.92778,0.0
77,44561.92847,0.0
78,44561.929169999996,0.0
79,44561.929860000004,0.0
80,44561.93056,0.0
81,44561.93125,0.0
82,44561.931939999995,0.0
83,44561.93264,0.0
84,44561.93333,0.0
85,44561.934030000004,0.0
86,44561.93472,0.0
87,44561.93542,0.0
88,44561.93611,0.0
89,44561.93681,0.0
90,44561.9375,0.0
91,44561.93819,0.0
92,44561.93889,0.0
93,44561.93958,0.0
94,44561.94028,0.0
95,44561.940969999996,0.0
96,44561.94167,0.0
97,44561.94236,0.0
98,44561.94306000001,0.0
99,44561.94375,0.0
100,44561.94444,0.0
101,44561.945139999996,0.0
102,44561.945830000004,0.0
103,44561.94653,0.0
104,44561.94722,0.0
105,44561.94792,0.0
106,44561.94861,0.0
107,44561.94931,0.0
108,44561.95,0.0
109,44561.95069,0.0
110,44561.951389999995,0.0
111,44561.95208,0.0
112,44561.95278,0.0
113,44561.95347,0.0
114,44561.95417,0.0
115,44561.95486000001,0.0
116,44561.95556,0.0
117,44561.95625,0.0
118,44561.95694,0.0
119,44561.95764,0.0
120,44561.95833,0.0
121,44561.95903,0.0
122,44561.95972,0.0
123,44561.960419999996,0.0
124,44561.961110000004,0.0
125,44561.96181,0.0
126,44561.9625,0.0
127,44561.963189999995,0.0
128,44561.96389,0.0
129,44561.96458,0.0
130,44561.965280000004,0.0
131,44561.96597,0.0
132,44561.96667,0.0
133,44561.96736,0.0
134,44561.96806,0.0
135,44561.96875,0.0
136,44561.96944,0.0
137,44561.97014,0.0
138,44561.97083,0.0
139,44561.97153,0.0
140,44561.972219999996,0.0
141,44561.97292,0.0
142,44561.97361,0.0
143,44561.97431000001,140.4
144,44561.975,178.4
145,44561.98056,178.4
146,44561.982639999995,178.4
147,44561.98542,178.4
148,44561.98611000001,178.4
149,44561.98681,178.4
150,44561.98819,178.4
151,44561.98889,178.4
152,44561.98958,178.4
153,44561.99028,178.4
154,44561.991669999996,178.4
155,44561.992360000004,178.4
156,44561.99514,178.4
157,44561.99583,178.4
158,44561.996530000004,178.4
159,44561.99722,178.4
160,44561.99792,178.4
161,44561.99861,178.4
162,44561.99931,178.4
163,44562.0,178.4
164,44562.00069,178.4
165,44562.00139,178.4
166,44562.00208,178.4
167,44562.00278,178.4
168,44562.003469999996,178.4
169,44562.00417,178.4
170,44562.00486,178.4
171,44562.00556000001,178.4
172,44562.00595,-0.1
173,44562.00625,178.4
174,44562.00694,178.4
175,44562.007639999996,178.4
176,44562.008330000004,178.4
177,44562.00903,178.4
178,44562.00972,178.4
179,44562.01042,178.4
180,44562.01111,178.4
181,44562.01181,178.4
182,44562.0125,178.4
183,44562.01319,178.4
184,44562.013889999995,178.4
185,44562.01458,178.4
186,44562.01528,178.4
187,44562.01597,178.4
188,44562.01667,178.4
189,44562.01736000001,178.4
190,44562.01806,178.4
191,44562.01875,178.4
192,44562.01944,178.4
193,44562.02014,178.4
194,44562.02083,178.4
195,44562.02153,178.4
196,44562.02222,178.4
197,44562.022919999996,178.4
198,44562.023610000004,178.4
199,44562.02431,178.4
200,44562.025,178.4
201,44562.025689999995,178.4
202,44562.02639,178.4
203,44562.02708,178.4
204,44562.027780000004,178.4
205,44562.02847,178.4
206,44562.02917,178.4
207,44562.02986,178.4
208,44562.03056,178.4
209,44562.03125,178.4
210,44562.03194,178.4
211,44562.03264,178.4
212,44562.03333,178.4
213,44562.03403,178.4
214,44562.034719999996,178.4
215,44562.03542,178.4
216,44562.03611,178.4
217,44562.03681000001,178.4
218,44562.0375,178.4
219,44562.03819,172.0
220,44562.038889999996,172.0
221,44562.039580000004,172.0
222,44562.03975,-0.1
223,44562.04028,172.0
224,44562.04034,-0.1
225,44562.04091,-0.1
226,44562.04097,172.0
227,44562.04167,172.0
228,44562.04236,171.5
229,44562.04306,171.5
230,44562.04375,171.5
231,44562.04444,171.5
232,44562.045139999995,171.5
233,44562.04583,175.7
234,44562.04614,-0.1
235,44562.04653,175.7
236,44562.04671,-0.1
237,44562.04722,175.7
238,44562.047289999995,-0.1
239,44562.04787,-0.1
240,44562.04792,175.7
241,44562.04845,-0.1
242,44562.04861000001,175.7
243,44562.04903,-0.1
244,44562.04931,175.7
245,44562.05,179.8
246,44562.05069,179.8
247,44562.05139,179.8
248,44562.05208,179.8
249,44562.05278,179.8
250,44562.05347,179.8
251,44562.054169999996,184.1
252,44562.054860000004,184.1
253,44562.05556,201.7
254,44562.05625,230.8
255,44562.056939999995,230.8
256,44562.05764,230.8
257,44562.05833,230.8
258,44562.059030000004,230.8
