,datetime,p2,wind
70,44562.04097,4.73,3.2
72,44562.04792,0.87,0.6
73,44562.06181,0.83,0.1
83,44562.11042,0.63,1.5
84,44562.11389,0.55,1.7
85,44562.12778,0.56,2.0
88,44562.13819,0.63,1.4
89,44562.14167,0.48,1.6
90,44562.14514,0.48,1.5
91,44562.148610000004,0.5,1.7
92,44562.15208,0.61,1.9
93,44562.15556,0.53,2.3
94,44562.15903,0.62,2.2
95,44562.1625,0.6,2.1
106,44562.20069,1.48,4.1
107,44562.20417,1.26,4.4
108,44562.20764,1.63,4.8
109,44562.211110000004,1.58,3.4
110,44562.21458,1.59,5.7
111,44562.21806,1.2,5.4
112,44562.22153,1.38,5.8
113,44562.225,1.04,4.3
114,44562.22847,1.01,4.8
115,44562.23194,1.07,5.5
116,44562.23542,1.05,5.6
117,44562.23889,1.15,4.6
118,44562.242360000004,1.2,5.5
139,44562.336110000004,3.16,7.1
140,44562.33958,1.47,5.4
141,44562.34306,1.74,5.8
164,44562.42292,1.62,7.5
315,44563.02014,1.48,0.7
316,44563.023610000004,1.4,1.9
317,44563.03403,1.24,1.6
318,44563.0375,1.11,1.0
390,44563.32917,0.9,5.3
391,44563.33264,1.08,5.5
392,44563.336110000004,1.31,5.3
393,44563.33958,1.35,5.6
394,44563.35,0.76,5.2
395,44563.35347,0.86,5.5
396,44563.35694,6.11,5.6
397,44563.36042,1.52,6.0
398,44563.36389,0.65,6.1
399,44563.367360000004,0.64,6.5
400,44563.37083,0.63,6.9
415,44563.42292,0.63,7.9
431,44563.49583,0.63,7.7
573,44564.02708,0.66,4.0
574,44564.03056,0.59,4.7
619,44564.20069,0.78,3.5
620,44564.20417,0.74,4.4
621,44564.20764,0.66,4.0
622,44564.211110000004,0.88,3.3
623,44564.21458,0.68,3.4
624,44564.21806,0.72,3.0
625,44564.22153,0.73,3.8
626,44564.225,0.63,2.7
627,44564.22847,0.64,3.1
628,44564.23194,0.76,3.8
629,44564.23542,0.81,3.3
630,44564.23889,0.67,2.8
631,44564.242360000004,0.75,2.7
632,44564.24583,0.88,2.2
633,44564.25625,0.59,2.2
634,44564.25972,0.63,2.0
635,44564.26319,0.69,2.2
636,44564.26667,0.82,2.0
637,44564.27014,0.83,1.3
638,44564.273610000004,0.73,2.3
639,44564.27708,0.63,1.8
640,44564.28056,0.55,1.7
644,44564.29444,1.11,1.7
645,44564.29792,0.48,2.0
646,44564.30139,0.59,2.1
647,44564.304860000004,0.53,2.5
648,44564.30833,0.67,3.0
649,44564.31181,0.47,2.1
650,44564.31528,0.4,3.2
651,44564.31875,0.41,3.3
652,44564.32222,0.88,3.8
653,44564.32569,0.65,3.4
654,44564.32917,0.81,3.7
655,44564.33264,0.69,3.3
656,44564.336110000004,1.23,3.5
657,44564.33958,0.73,3.9
658,44564.34306,0.64,3.4
659,44564.34653,0.54,3.3
660,44564.35,0.49,4.3
661,44564.35347,0.47,4.5
662,44564.35694,0.45,4.3
663,44564.36042,0.41,3.8
666,44564.42292,0.46,5.3
667,44564.49583,0.46,2.7
735,44565.02014,0.65,0.7
736,44565.023610000004,0.62,1.1
737,44565.02708,0.58,1.6
794,44565.32569,1.26,4.9
795,44565.32917,0.66,5.1
796,44565.33264,0.61,5.2
797,44565.336110000004,0.64,5.1
798,44565.33958,0.73,5.0
799,44565.34306,0.65,5.1
800,44565.34653,0.65,5.0
801,44565.35,0.68,5.2
802,44565.35347,0.78,5.4
814,44565.42292,0.59,6.3
898,44566.0375,0.84,1.4
910,44566.11389,0.99,1.0
911,44566.117360000004,0.89,1.5
912,44566.12083,0.71,0.3
913,44566.13125,0.57,0.9
914,44566.13472,0.46,0.1
915,44566.13819,0.47,0.2
916,44566.14167,0.46,0.4
917,44566.14514,0.52,1.3
918,44566.148610000004,0.5,1.0
919,44566.15208,0.49,1.3
920,44566.15556,0.46,0.7
921,44566.15903,0.47,1.0
922,44566.1625,0.44,1.3
923,44566.17292,0.44,0.9
924,44566.17639,0.48,0.8
925,44566.179860000004,0.52,0.6
926,44566.19722,0.48,1.2
927,44566.20069,0.49,1.4
928,44566.20417,0.46,1.7
934,44566.23542,0.4,1.3
935,44566.23889,0.7,1.4
936,44566.242360000004,0.83,1.6
937,44566.24583,0.63,1.4
938,44566.24931,0.8,1.7
939,44566.25278,0.43,1.8
953,44566.33958,6.62,0.6
954,44566.34306,1.33,0.4
955,44566.34653,0.5,0.8
956,44566.35,0.43,0.9
957,44566.35347,0.51,1.0
958,44566.35694,0.53,1.1
959,44566.36042,0.57,1.2
960,44566.36389,0.74,1.0
961,44566.37431,0.84,1.0
975,44566.42292,0.6,3.9
1017,44567.03056,0.41,1.9
1072,44567.26667,0.39,2.6
1073,44567.27708,0.28,2.3
1074,44567.28056,0.3,2.6
1075,44567.28403,0.31,3.0
1076,44567.2875,0.28,2.8
1077,44567.29097,0.26,2.5
1078,44567.29444,0.3,2.2
1079,44567.29792,0.35,2.5
1080,44567.30139,0.3,2.2
1081,44567.304860000004,0.26,2.0
1084,44567.31528,0.46,2.2
1085,44567.31875,0.31,2.1
1086,44567.32222,0.39,2.5
1087,44567.33264,0.34,1.3
1088,44567.336110000004,0.4,0.8
1089,44567.33958,0.43,0.4
1090,44567.34306,0.41,0.7
1091,44567.35694,0.36,1.0
1092,44567.367360000004,0.39,0.5
1104,44567.429860000004,0.34,0.9
1121,44567.49583,0.34,0.7
1206,44568.03403,1.29,1.4
1207,44568.05139,0.44,0.8
1220,44568.12083,0.34,0.8
1221,44568.12431,0.28,1.1
1222,44568.12778,0.23,1.0
1223,44568.13125,0.26,1.2
1225,44568.13819,0.35,0.3
1226,44568.14167,0.28,0.5
1227,44568.14514,0.33,0.3
1228,44568.148610000004,0.3,0.6
1229,44568.15208,0.25,1.0
1230,44568.15556,0.67,0.7
1231,44568.15903,0.46,0.5
1232,44568.1625,0.48,0.9
1233,44568.16597,0.33,1.0
1234,44568.16944,0.33,0.4
1235,44568.17292,0.29,1.0
1236,44568.17639,0.3,1.2
1237,44568.179860000004,0.33,1.5
1238,44568.18333,0.31,1.3
1239,44568.18681,0.28,1.2
1240,44568.19722,0.48,1.7
1242,44568.20417,0.34,0.9
1243,44568.20764,0.34,1.0
1244,44568.21806,0.37,1.7
1245,44568.22153,0.36,1.5
1246,44568.225,0.4,1.1
1247,44568.22847,0.46,1.0
1248,44568.242360000004,0.38,1.6
1249,44568.24583,0.27,1.5
1250,44568.24931,0.3,0.6
1251,44568.25278,0.23,1.0
1252,44568.26319,0.3,0.8
1253,44568.26667,0.41,0.7
1254,44568.27014,0.35,1.1
1255,44568.273610000004,0.34,0.9
1256,44568.27708,0.39,1.0
1257,44568.28056,0.31,1.3
1258,44568.28403,0.38,1.2
1259,44568.2875,0.41,1.3
1260,44568.29097,0.43,1.4
1262,44568.31875,0.5,1.4
1263,44568.32222,0.42,1.3
1264,44568.32569,0.41,0.8
1265,44568.32917,0.49,1.0
1266,44568.33264,0.63,1.2
1267,44568.336110000004,0.52,1.0
1268,44568.33958,0.53,1.3
1269,44568.34306,0.57,1.0
1270,44568.36042,0.49,1.4
1271,44568.37083,0.55,1.6
1282,44568.42292,0.71,1.8
1301,44568.49583,0.71,0.1
1328,44568.59653,4.19,3.6
1329,44568.6,4.19,3.4
1441,44569.02014,0.83,3.8
1443,44569.02708,0.32,1.5
1487,44569.19722,0.47,1.3
1488,44569.20069,0.44,1.7
1489,44569.20417,0.39,1.5
1490,44569.20764,0.43,1.6
1491,44569.21806,0.49,2.0
1492,44569.22153,0.43,1.4
1493,44569.225,0.51,1.5
1494,44569.22847,0.49,1.9
1495,44569.23194,0.47,2.0
1496,44569.23542,0.44,1.3
1497,44569.23889,0.38,1.2
1498,44569.242360000004,2.06,1.4
1499,44569.24583,0.46,2.0
1500,44569.24931,0.53,1.9
1501,44569.25278,0.46,1.3
1502,44569.25625,0.48,1.6
1503,44569.25972,0.45,1.4
1504,44569.27014,0.36,1.4
1505,44569.28056,0.34,1.9
1506,44569.30139,0.63,2.3
1507,44569.304860000004,0.56,2.2
1508,44569.30833,0.46,1.8
1511,44569.33264,0.35,1.4
1512,44569.336110000004,0.35,1.7
1513,44569.33958,0.89,1.8
1514,44569.34306,0.72,1.6
1515,44569.34653,0.5,1.3
1516,44569.35,0.61,1.7
1517,44569.35347,0.64,1.6
1518,44569.35694,0.6,1.5
1519,44569.367360000004,0.53,1.0
1520,44569.37778,0.45,1.0
1531,44569.42292,0.47,1.1
1688,44570.023610000004,0.66,2.5
1689,44570.02708,0.62,3.9
1691,44570.03403,0.53,2.2
1697,44570.06181,0.58,4.5
1698,44570.07569,0.44,2.2
1699,44570.086110000004,0.53,2.4
1700,44570.08958,0.45,2.6
1701,44570.1,0.39,2.8
1702,44570.10347,0.32,3.3
1704,44570.11042,0.46,3.0
1705,44570.11389,0.41,3.4
1706,44570.117360000004,0.41,2.5
1707,44570.12083,0.48,3.0
1708,44570.12431,0.38,2.7
1709,44570.12778,0.32,3.2
1710,44570.13125,0.36,4.3
1711,44570.13472,0.35,3.7
1712,44570.13819,0.32,3.9
1713,44570.14167,0.4,3.6
1716,44570.15208,0.56,3.8
1717,44570.15556,0.48,3.7
1718,44570.15903,0.48,3.8
1719,44570.1625,0.48,3.4
1720,44570.17292,1.12,3.2
1721,44570.17639,0.96,3.5
1722,44570.179860000004,0.62,3.0
1723,44570.18333,0.78,3.3
1769,44570.35347,0.47,4.2
1770,44570.35694,0.6,5.0
1771,44570.36042,0.53,4.5
1772,44570.36389,0.51,4.1
1782,44570.42292,0.51,6.5
1791,44570.49583,0.51,4.2
1905,44571.02014,0.83,2.5
1907,44571.02708,0.59,2.5
1908,44571.03056,0.5,2.4
1909,44571.03403,0.62,0.6
1910,44571.0375,0.62,1.1
1911,44571.04097,0.52,0.7
1912,44571.05139,0.56,1.4
1913,44571.054860000004,0.61,0.7
1914,44571.05833,0.68,0.8
1915,44571.06181,0.59,1.2
1916,44571.06528,0.73,1.5
1917,44571.06875,0.73,1.3
1918,44571.07222,0.86,1.1
1919,44571.07569,0.85,0.6
1920,44571.086110000004,0.72,1.4
1921,44571.08958,0.64,1.5
1922,44571.1,0.61,1.4
1923,44571.10347,0.72,1.6
1924,44571.10694,0.69,1.2
1925,44571.11042,0.66,1.7
1927,44571.117360000004,0.77,1.5
1928,44571.12083,0.63,1.6
1929,44571.12431,0.47,2.3
1930,44571.12778,0.44,1.6
1931,44571.13125,0.46,1.8
1932,44571.13472,0.45,0.5
1933,44571.13819,0.39,1.5
1934,44571.148610000004,0.39,0.2
1935,44571.15903,0.37,0.8
1936,44571.1625,0.41,0.4
1937,44571.16597,0.35,0.5
1938,44571.16944,0.34,0.8
1939,44571.179860000004,0.42,0.8
1940,44571.18333,0.42,0.6
1941,44571.18681,0.44,1.0
1942,44571.20764,0.45,0.6
1943,44571.22153,0.35,0.6
1944,44571.225,0.41,0.3
1945,44571.22847,0.43,1.0
1946,44571.23194,0.5,0.8
1947,44571.23542,0.51,1.2
1948,44571.23889,0.47,0.6
1949,44571.242360000004,0.38,0.1
1950,44571.24583,0.39,1.0
1951,44571.24931,0.4,0.4
1952,44571.25278,0.39,0.5
1953,44571.25625,0.41,0.2
1954,44571.25972,0.36,0.1
1955,44571.26319,0.36,0.5
1959,44571.27708,1.2,2.0
1960,44571.28056,0.91,2.1
1961,44571.28403,0.81,2.2
1963,44571.29097,0.74,2.2
1964,44571.29444,0.89,1.9
1965,44571.29792,0.78,2.5
1966,44571.30139,0.72,1.9
1967,44571.304860000004,0.61,2.2
1968,44571.30833,0.53,2.6
1969,44571.31181,0.58,3.1
1970,44571.31528,0.55,3.0
1971,44571.31875,0.7,3.4
1972,44571.32222,0.85,3.3
1973,44571.32569,0.61,3.4
1974,44571.33958,0.75,3.3
1975,44571.34306,0.62,3.0
1976,44571.34653,0.7,2.3
1977,44571.35,0.93,1.6
1978,44571.35347,0.87,1.8
1998,44571.42292,0.87,2.2
2016,44571.49931,0.87,3.9
2038,44571.61389,1.82,2.4
2039,44571.617360000004,0.5,2.2
2150,44572.01667,2.81,5.4
2151,44572.02014,0.74,2.6
2152,44572.02708,0.59,2.1
2153,44572.03056,0.8,3.2
2154,44572.03403,0.71,2.4
2155,44572.0375,0.76,1.7
2156,44572.04097,0.54,1.9
2157,44572.04444,0.71,0.7
2158,44572.04792,0.8,1.6
2159,44572.05139,1.01,0.8
2160,44572.054860000004,0.84,1.4
2161,44572.05833,0.91,2.0
2164,44572.06875,1.25,0.3
2166,44572.07569,0.65,1.1
2167,44572.07917,0.69,0.8
2168,44572.08264,0.77,1.5
2169,44572.086110000004,0.84,0.4
2170,44572.08958,1.04,2.2
2171,44572.09306,0.8,2.9
2172,44572.09653,0.78,1.8
2173,44572.1,0.5,2.7
2174,44572.10347,0.48,2.1
2175,44572.10694,0.54,2.3
2176,44572.117360000004,0.58,2.6
2182,44572.15903,0.54,2.9
2183,44572.1625,0.39,3.9
2184,44572.16597,0.48,3.7
2185,44572.16944,0.44,4.1
2186,44572.17292,0.47,3.7
2187,44572.17639,0.44,3.8
2188,44572.179860000004,0.52,5.1
2189,44572.19028,0.47,5.9
2190,44572.19375,0.44,4.4
2191,44572.19722,0.43,5.3
2192,44572.20069,0.51,4.3
2193,44572.20417,0.98,4.4
2197,44572.21806,0.47,4.2
2198,44572.22153,0.5,4.5
2199,44572.225,0.54,4.0
2200,44572.22847,0.64,3.7
2201,44572.242360000004,0.64,5.1
2203,44572.24931,1.88,5.5
2205,44572.25625,3.28,4.2
2206,44572.25972,0.79,2.7
2207,44572.26319,0.37,4.2
2208,44572.26667,0.37,4.9
2234,44572.42639,0.41,0.8
2249,44572.49931,0.41,0.1
2301,44572.71458,4.69,1.1
2302,44572.71806,7.3,1.6
2320,44573.01667,0.89,2.1
2321,44573.02014,0.48,4.3
2323,44573.02708,0.73,1.9
2324,44573.03056,0.64,1.1
2333,44573.06181,0.82,5.1
2334,44573.06528,0.48,3.9
2335,44573.06875,0.41,2.9
2336,44573.07222,0.45,2.4
2337,44573.07569,0.5,3.1
2338,44573.07917,0.53,4.5
2339,44573.08264,0.69,2.8
2340,44573.09306,0.72,1.6
2341,44573.09653,0.67,1.7
2342,44573.1,0.76,1.0
2343,44573.11042,0.55,1.3
2344,44573.12778,1.13,1.8
2345,44573.13125,0.68,1.7
2346,44573.13472,0.65,0.6
2347,44573.13819,0.79,0.2
2348,44573.14167,0.79,1.0
2349,44573.14514,0.81,0.5
2350,44573.148610000004,0.88,0.9
2351,44573.15903,1.09,0.8
2352,44573.1625,0.57,1.0
2353,44573.16597,0.62,1.5
2354,44573.19722,0.7,0.7
2356,44573.211110000004,1.2,0.4
2357,44573.21458,0.68,0.6
2366,44573.25278,0.5,3.3
2367,44573.25625,0.46,3.1
2368,44573.26667,0.73,2.3
2369,44573.27014,0.74,2.1
2370,44573.273610000004,1.57,1.4
2371,44573.27708,0.67,1.3
2372,44573.28056,0.54,0.2
2373,44573.28403,0.54,1.2
2374,44573.2875,0.66,0.5
2375,44573.29792,0.48,1.1
2376,44573.30139,0.45,0.1
2377,44573.304860000004,0.97,0.3
2378,44573.30833,0.45,0.1
2379,44573.31181,0.48,0.8
2380,44573.31528,0.46,0.6
2381,44573.31875,0.48,0.9
2382,44573.32222,0.56,0.4
2383,44573.33264,0.46,0.5
2384,44573.336110000004,0.41,0.6
2385,44573.34653,0.46,0.1
2386,44573.35,0.42,0.7
2387,44573.35347,0.48,0.3
2388,44573.35694,0.5,0.1
2404,44573.42292,0.57,0.5
2429,44573.50972,0.57,0.9
2469,44573.6625,1.97,2.3
2478,44573.69375,5.96,1.2
2479,44573.69722,2.9,2.3
2480,44573.70069,1.82,3.0
2497,44574.023610000004,0.66,3.5
2498,44574.02708,0.73,4.3
2499,44574.03056,0.56,4.0
2500,44574.03403,0.4,0.3
2501,44574.0375,0.46,2.7
2502,44574.04097,0.44,6.2
2503,44574.04444,0.45,4.6
2504,44574.04792,0.41,5.9
2505,44574.05139,0.45,2.6
2506,44574.054860000004,0.4,4.7
2507,44574.05833,0.4,3.2
2508,44574.06181,0.46,3.7
2509,44574.06528,0.43,3.6
2510,44574.06875,0.38,3.5
2511,44574.07222,0.29,2.7
2512,44574.07569,0.4,3.0
2513,44574.07917,0.36,5.3
2514,44574.08264,0.31,3.5
2515,44574.086110000004,0.35,2.6
2516,44574.08958,0.3,1.6
2517,44574.09306,0.26,1.5
2518,44574.10347,0.28,1.4
2519,44574.11389,0.32,3.4
2520,44574.117360000004,0.39,1.8
2521,44574.12083,0.96,0.1
2522,44574.12431,0.78,0.7
2527,44574.14167,0.42,0.6
2528,44574.14514,0.45,0.5
2529,44574.148610000004,0.4,0.4
2530,44574.15208,0.4,0.2
2531,44574.15556,0.38,0.6
2532,44574.15903,0.42,0.4
2533,44574.16667,0.33,0.8
2534,44574.17639,0.41,0.8
2535,44574.179860000004,0.33,1.0
2536,44574.18333,0.25,0.7
2537,44574.18681,0.24,1.0
2538,44574.19028,0.34,0.4
2539,44574.19375,0.36,0.5
2540,44574.19722,0.37,0.1
2541,44574.20069,0.36,0.1
2542,44574.20417,0.38,0.3
2543,44574.20764,0.43,1.7
2544,44574.211110000004,0.46,0.5
2545,44574.21458,0.34,1.0
2546,44574.225,0.33,1.7
2549,44574.23542,0.36,1.5
2550,44574.23889,0.31,0.9
2551,44574.25625,0.32,1.6
2552,44574.25972,0.34,1.7
2553,44574.26319,0.34,1.2
2554,44574.26667,0.31,0.8
2555,44574.27014,0.39,1.2
2556,44574.273610000004,0.3,0.9
2557,44574.27708,0.3,0.4
2558,44574.28056,0.32,1.1
2559,44574.28403,0.27,0.2
2560,44574.2875,0.36,0.3
2561,44574.29097,0.35,0.5
2562,44574.29444,0.64,0.3
2563,44574.29792,0.48,0.9
2564,44574.30139,0.37,0.7
2565,44574.304860000004,0.39,1.2
2566,44574.30833,0.31,1.0
2567,44574.31181,0.31,1.1
2568,44574.31528,0.37,1.2
2569,44574.31875,0.39,0.4
2570,44574.32222,0.39,1.2
2571,44574.32569,0.36,0.9
2572,44574.32917,0.37,1.4
2573,44574.33264,0.25,0.2
2574,44574.336110000004,0.34,0.7
2575,44574.33958,0.34,0.2
2593,44574.42292,0.29,0.4
2605,44574.49931,0.29,0.5
2637,44574.69792,4.79,0.3
2638,44574.70833,2.98,0.5
2691,44575.16944,3.66,2.9
2749,44575.429860000004,3.04,4.0
2791,44575.725,4.8,4.1
2792,44575.72847,1.76,5.4
2861,44576.423610000005,1.76,2.5
2863,44576.53819,1.76,2.1
2941,44577.42292,1.76,4.4
2956,44577.49931,1.76,7.7
3104,44578.42292,1.76,10.0
3126,44578.49931,1.76,11.2
3261,44579.43056,1.76,10.8
3396,44580.423610000005,1.76,12.1
3551,44581.42292,1.76,12.7
3552,44581.49583,1.76,14.9
3779,44582.423610000005,1.76,6.3
3796,44582.496530000004,1.76,8.5
3952,44583.42292,1.76,2.4
3978,44583.5375,1.76,3.9
4183,44584.423610000005,1.76,0.5
4204,44584.496530000004,1.76,2.3
4418,44585.429860000004,1.76,3.2
4428,44585.49583,1.76,2.0
4654,44586.423610000005,1.76,1.9
4673,44586.496530000004,1.76,1.9
4845,44587.42639,1.76,3.5
4861,44587.50972,1.76,2.8
5078,44588.42292,1.76,1.1
5093,44588.496530000004,1.76,4.1
5308,44589.42292,1.76,2.2
5319,44589.5,1.76,3.1
13090,44631.767360000005,5.4,6.6
13091,44631.77083,4.65,8.1
13148,44631.98889,3.87,0.6
13149,44631.992360000004,0.76,1.1
13150,44631.99583,0.88,0.6
13151,44632.00625,3.33,1.0
13152,44632.00972,4.04,0.6
13153,44632.02708,2.01,0.5
13158,44632.04444,4.5,1.2
13159,44632.04792,0.76,0.6
13173,44632.10694,1.82,1.2
13174,44632.11042,4.29,1.5
13175,44632.12083,3.47,0.9
13176,44632.13125,5.92,0.8
13177,44632.13472,1.93,0.9
13178,44632.14514,2.61,0.4
13179,44632.148610000004,5.25,0.7
13183,44632.1625,0.58,0.4
13184,44632.17292,1.31,0.2
13185,44632.18333,0.59,0.2
13186,44632.18681,0.54,0.7
13187,44632.19028,0.54,1.1
13188,44632.19375,0.48,1.0
13189,44632.19722,0.51,0.7
13190,44632.20069,0.59,0.6
13191,44632.20417,0.56,0.9
13192,44632.20764,0.57,0.8
13193,44632.211110000004,0.57,0.6
13223,44632.32222,0.69,1.8
13224,44632.32569,0.66,2.1
13227,44632.34306,0.51,2.3
13228,44632.34653,0.54,1.3
13229,44632.35,0.6,1.8
13230,44632.35347,0.64,1.0
13233,44632.36389,0.42,1.2
13234,44632.367360000004,0.63,1.1
13235,44632.37083,0.63,0.8
13236,44632.37431,0.6,0.7
13237,44632.37778,0.83,0.5
13238,44632.38125,0.69,0.7
13239,44632.38472,0.55,0.5
13240,44632.38819,0.64,0.2
13241,44632.40556,1.72,0.3
13246,44632.42292,0.85,0.5
13397,44633.0,0.65,0.5
13398,44633.003469999996,0.68,0.3
13402,44633.017360000005,0.7,1.8
13403,44633.02083,0.71,1.5
13404,44633.02431,0.69,1.2
13406,44633.03125,1.33,1.8
13407,44633.034719999996,1.31,2.0
13408,44633.045139999995,1.36,2.1
13409,44633.048610000005,0.69,1.8
13410,44633.05208,0.64,1.7
13411,44633.05556,0.56,1.4
13412,44633.059030000004,0.64,1.1
13413,44633.0625,0.49,1.2
13414,44633.065969999996,0.57,1.7
13415,44633.06944,0.54,2.0
13416,44633.07292,0.46,1.6
13417,44633.076389999995,0.46,1.4
13437,44633.14931,0.43,4.4
13438,44633.15208,0.41,4.5
13439,44633.15556,0.5,4.3
13440,44633.15903,0.49,4.2
13441,44633.1625,0.49,4.4
13442,44633.16597,0.48,3.5
13443,44633.17639,0.94,3.1
13444,44633.179860000004,0.59,3.2
13445,44633.18333,0.6,2.3
13446,44633.18681,0.6,2.9
13447,44633.19028,0.54,2.7
13448,44633.19375,0.54,3.0
13449,44633.19722,0.53,2.6
13450,44633.20069,0.5,3.0
13451,44633.20417,0.64,2.7
13452,44633.20764,0.6,2.2
13454,44633.21458,0.56,2.3
13455,44633.21806,0.61,1.7
13456,44633.22153,0.66,2.4
13457,44633.225,0.73,2.2
13458,44633.22847,0.75,1.8
13459,44633.23194,0.74,2.0
13460,44633.24306,1.08,2.2
13461,44633.246530000004,0.97,2.1
13462,44633.25,0.83,2.6
13463,44633.253469999996,0.79,2.9
13464,44633.25694,0.61,3.0
13465,44633.25972,0.67,2.2
13466,44633.26319,0.66,2.8
13467,44633.26667,0.66,3.9
13468,44633.27014,0.74,4.4
13469,44633.273610000004,0.78,4.3
13470,44633.27708,0.88,4.7
13471,44633.28056,1.06,5.3
13472,44633.28403,0.74,4.7
13473,44633.2875,0.87,4.5
13474,44633.29097,0.82,3.8
13475,44633.29444,0.67,4.2
13476,44633.29792,0.64,4.4
13477,44633.30139,0.71,4.0
13478,44633.304860000004,0.57,3.8
13479,44633.30833,0.62,2.8
13480,44633.315969999996,0.55,2.5
13481,44633.31944,0.84,3.1
13499,44633.42292,1.35,7.8
13644,44633.98194,0.85,1.9
13645,44633.98542,0.96,2.6
13647,44633.992360000004,0.59,1.5
13675,44634.152780000004,0.39,6.3
13676,44634.15625,0.42,6.0
13677,44634.159719999996,0.49,6.2
13678,44634.16319,0.42,6.3
13679,44634.16667,0.4,6.1
13680,44634.17708,0.37,6.0
13681,44634.18056,1.12,6.4
13682,44634.184030000004,1.05,6.0
13685,44634.19444,2.58,5.8
13686,44634.20833,0.37,5.6
13687,44634.21181,0.37,5.8
13688,44634.215280000004,0.38,5.9
13689,44634.21875,0.41,6.8
13690,44634.222219999996,1.99,5.8
13691,44634.22569,1.5,6.3
13692,44634.22917,0.74,5.0
13693,44634.232639999995,0.64,5.1
13694,44634.236110000005,0.58,4.6
13696,44634.24306,0.71,5.3
13697,44634.246530000004,0.73,5.5
13698,44634.25,0.78,4.6
13699,44634.253469999996,0.72,4.1
13700,44634.25694,0.72,4.0
13701,44634.26042,0.8,3.1
13702,44634.263889999995,1.0,2.7
13703,44634.27431,1.05,1.8
13704,44634.277780000004,1.01,1.7
13705,44634.28125,0.9,2.1
13706,44634.284719999996,0.94,2.0
13707,44634.28819,0.68,3.3
13708,44634.29167,0.66,2.4
13709,44634.295139999995,0.62,4.1
13710,44634.298610000005,0.66,5.0
13712,44634.30556,0.68,3.5
13713,44634.309030000004,0.74,3.1
13714,44634.3125,0.67,2.2
13715,44634.315969999996,0.74,2.7
13716,44634.31944,0.71,2.5
13717,44634.329860000005,1.13,2.3
13718,44634.33333,0.9,1.6
13719,44634.33681,0.96,2.0
13720,44634.340280000004,0.78,2.8
13721,44634.34375,0.74,4.0
13722,44634.347219999996,0.78,3.0
13723,44634.35069,0.83,2.6
13724,44634.35417,0.8,3.3
13725,44634.357639999995,0.72,2.1
13726,44634.361110000005,0.49,4.0
13727,44634.36458,0.61,2.7
13728,44634.36806,0.66,2.3
13729,44634.378469999996,0.58,1.8
13730,44634.38194,1.25,1.6
13731,44634.38542,1.45,3.3
13732,44634.388889999995,1.26,2.9
13733,44634.392360000005,0.91,2.2
13735,44634.39931,3.56,2.2
13736,44634.409719999996,0.83,4.4
13737,44634.41319,0.86,4.1
13738,44634.41667,0.74,4.4
13740,44634.423610000005,0.6,4.7
13800,44634.65208,5.93,1.8
13801,44634.65556,6.2,5.2
13891,44634.982639999995,0.83,1.1
13892,44634.986110000005,0.68,1.6
13894,44634.99306,0.75,1.8
13895,44634.996530000004,0.8,2.0
13896,44634.99931,0.84,1.8
13897,44635.00278,0.83,2.3
13898,44635.00625,0.84,2.2
13899,44635.00972,0.86,2.8
13900,44635.01319,0.82,3.2
13901,44635.01667,1.04,3.4
13902,44635.02014,1.2,3.7
13903,44635.023610000004,1.07,4.4
13904,44635.02708,0.89,4.1
13905,44635.03056,1.1,4.2
13906,44635.03403,0.82,4.8
13907,44635.0375,0.74,5.0
13908,44635.04097,0.78,4.9
13909,44635.04444,0.97,5.3
13910,44635.059030000004,1.12,6.4
13911,44635.0625,0.9,6.5
13912,44635.065969999996,0.78,6.4
13913,44635.06944,0.87,6.0
13914,44635.07292,0.82,6.9
13915,44635.076389999995,0.78,6.7
13916,44635.079860000005,0.83,6.3
13917,44635.08333,0.75,5.6
13918,44635.08681,0.85,6.0
13919,44635.090280000004,2.19,5.8
13920,44635.09375,0.94,5.6
13921,44635.097219999996,0.97,5.5
13922,44635.10069,0.75,5.6
13923,44635.10417,0.85,5.8
13924,44635.107639999995,1.03,6.4
13925,44635.111110000005,0.66,6.7
13926,44635.11458,0.63,6.3
13927,44635.11806,0.64,5.9
13928,44635.121530000004,1.14,6.6
13929,44635.125,2.08,6.3
13930,44635.138889999995,0.9,6.4
13931,44635.142360000005,0.77,5.8
13932,44635.14583,0.72,5.3
13933,44635.14931,0.75,5.2
13934,44635.152780000004,0.75,5.6
13935,44635.15625,0.63,5.7
13936,44635.159719999996,0.82,6.0
13937,44635.16319,0.83,5.2
13938,44635.16667,0.69,6.0
13939,44635.170139999995,0.76,5.8
13940,44635.173610000005,0.96,6.2
13941,44635.17708,0.77,5.8
13942,44635.18056,0.67,5.7
13943,44635.184030000004,0.69,5.2
13944,44635.1875,1.19,5.7
13945,44635.190969999996,1.15,5.9
13946,44635.19444,0.99,5.4
13947,44635.19792,0.98,5.6
13948,44635.201389999995,0.98,6.0
13949,44635.204860000005,1.0,5.9
13950,44635.20833,0.95,6.4
13951,44635.21181,0.84,6.2
13952,44635.215280000004,0.87,5.8
13953,44635.21875,0.91,6.5
13954,44635.222219999996,0.95,6.1
13955,44635.22569,0.9,5.2
13956,44635.22917,0.92,6.0
13957,44635.232639999995,0.97,5.8
13958,44635.236110000005,1.21,6.1
13959,44635.23958,1.11,5.5
13960,44635.24306,1.11,6.5
13961,44635.246530000004,1.01,6.3
