fecha_x,datetime,ecs_az_pos,topshut_pos,botshut_pos,eastVent_pos,westVent_pos,fecha_y,pwfs2_see,fecha,windSp
,44562.14353,,,,,,1/1/22 3:26,0.509946851,,0.0
,44562.14387,,,,,,1/1/22 3:27,0.469927291,,0.0
,44562.14422,,,,,,1/1/22 3:27,0.537868686,,0.0
,44562.14457,,,,,,1/1/22 3:28,0.448854307,,0.0
,44562.14492,,,,,,1/1/22 3:28,0.501751081,,0.0
,44562.14527,,,,,,1/1/22 3:29,0.480896317,,0.0
,44562.145619999996,,,,,,1/1/22 3:29,0.54875536,,0.0
,44562.14596,,,,,,1/1/22 3:30,0.468088234,,0.0
,44562.146310000004,,,,,,1/1/22 3:30,0.430491212,,0.0
,44562.14666000001,,,,,,1/1/22 3:31,0.513583679,,0.0
,44562.14701,,,,,,1/1/22 3:31,0.580459469,,0.0
,44562.14736,,,,,,1/1/22 3:32,0.487470067,,0.0
,44562.1477,,,,,,1/1/22 3:32,0.49808429,,0.0
,44562.14805,,,,,,1/1/22 3:33,0.494858626,,0.0
,44562.1484,,,,,,1/1/22 3:33,0.523219034,,0.0
,44562.14875,,,,,,1/1/22 3:34,0.635136939,,0.0
,44562.1491,,,,,,1/1/22 3:34,0.467868795,,0.0
,44562.14945,,,,,,1/1/22 3:35,0.565146637,,0.0
,44562.149789999996,,,,,,1/1/22 3:35,0.511731162,,0.0
,44562.15014,,,,,,1/1/22 3:36,0.643562483,,0.0
,44562.15049,,,,,,1/1/22 3:36,0.58090069,,0.0
,44562.150839999995,,,,,,1/1/22 3:37,0.623463065,,0.0
,44562.15119,,,,,,1/1/22 3:37,0.791750673,,0.0
,44562.15153,,,,,,1/1/22 3:38,0.780568333,,0.0
,44562.15188,,,,,,1/1/22 3:38,0.486781187,,0.0
,44562.15223,,,,,,1/1/22 3:39,0.503275936,,0.0
,44562.15258,,,,,,1/1/22 3:39,0.470554487,,0.0
,44562.152930000004,,,,,,1/1/22 3:40,0.522128982,,0.0
,44562.15328,,,,,,1/1/22 3:40,0.484038462,,0.0
,44562.15362,,,,,,1/1/22 3:41,0.642831603,,0.0
,44562.15397,,,,,,1/1/22 3:41,0.548150542,,0.0
,44562.15627,,,,,,1/1/22 3:45,0.52201331,,0.0
,44562.15662,,,,,,1/1/22 3:45,0.7292557609999999,,0.0
,44562.15697,,,,,,1/1/22 3:46,0.60953742,,0.0
,44562.15732,,,,,,1/1/22 3:46,0.617988133,,0.0
,44562.15767,,,,,,1/1/22 3:47,0.709138418,,0.0
,44562.15801,,,,,,1/1/22 3:47,0.567482555,,0.0
,44562.15836,,,,,,1/1/22 3:48,0.6397545729999999,,0.0
,44562.15871,,,,,,1/1/22 3:48,0.589707401,,0.0
,44562.15906000001,,,,,,1/1/22 3:49,0.547373318,,0.0
,44562.15941,,,,,,1/1/22 3:49,0.604750659,,0.0
,44562.15976,,,,,,1/1/22 3:50,0.603154214,,0.0
,44562.1601,,,,,,1/1/22 3:50,0.669862775,,0.0
,44562.198919999995,,,,,,1/1/22 4:46,1.577089039,,0.0
,44562.19927,,,,,,1/1/22 4:46,1.850795467,,0.0
,44562.19962,,,,,,1/1/22 4:47,1.382408,,0.0
,44562.19997,,,,,,1/1/22 4:47,1.254979842,,0.0
,44562.200319999996,,,,,,1/1/22 4:48,1.107335314,,0.0
,44562.20066,,,,,,1/1/22 4:48,1.69654491,,0.0
,44562.201010000004,,,,,,1/1/22 4:49,1.6562356619999998,,0.0
,44562.20136,,,,,,1/1/22 4:49,1.5213058380000002,,0.0
,44562.20188,,,,,,1/1/22 4:50,1.296996185,,0.0
,44562.20223,,,,,,1/1/22 4:51,1.1408182470000001,,0.0
,44562.20258000001,,,,,,1/1/22 4:51,1.2995757829999999,,0.0
,44562.20293,,,,,,1/1/22 4:52,1.4385135530000002,,0.0
,44562.20327,,,,,,1/1/22 4:52,0.958013401,,0.0
,44562.20362,,,,,,1/1/22 4:53,1.072696345,,0.0
,44562.20397,,,,,,1/1/22 4:53,0.9431875409999999,,0.0
,44562.20432,,,,,,1/1/22 4:54,2.117059195,,0.0
,44562.20467,,,,,,1/1/22 4:54,2.346437482,,0.0
,44562.20502,,,,,,1/1/22 4:55,1.120576354,,0.0
,44562.205369999996,,,,,,1/1/22 4:55,0.965547725,,0.0
,44562.207089999996,,,,,,1/1/22 4:58,1.441178755,,0.0
