fecha,datetime,pwfs2_see
12/31/21 11:53,44561.49553,0.341472646
1/1/22 0:08,44562.00595,0
1/1/22 0:57,44562.03975,0
1/1/22 0:58,44562.04034,7.547264751
1/1/22 0:58,44562.04091,1.916648031
1/1/22 1:06,44562.04614,0.785322494
1/1/22 1:07,44562.04671,0.864124928
1/1/22 1:08,44562.04729,0.956818384
1/1/22 1:08,44562.04787,0.857954549
1/1/22 1:09,44562.04845,0.789396452
1/1/22 1:10,44562.04903,0.866521307
1/1/22 2:34,44562.10737,0.484400977
1/1/22 2:35,44562.10772,0.594960672
1/1/22 2:35,44562.10807,0.581330178
1/1/22 2:36,44562.10841,0.785314453
1/1/22 2:36,44562.10876,0.767829797
1/1/22 2:37,44562.10911,0.656250369
1/1/22 2:37,44562.10946,0.612772445
1/1/22 2:38,44562.10981,0.592560293
1/1/22 2:38,44562.11016,0.567013809
1/1/22 2:39,44562.1105,0.694329914
1/1/22 2:39,44562.11085,0.542269293
1/1/22 2:40,44562.1112,0.540667169
1/1/22 2:40,44562.11155,0.542014569
1/1/22 2:41,44562.1119,0.590731483
1/1/22 2:41,44562.11224,0.597834132
1/1/22 2:42,44562.11259,0.587622609
1/1/22 2:42,44562.11294,0.472272638
1/1/22 2:43,44562.11329,0.462998401
1/1/22 2:43,44562.11364,0.464751919
1/1/22 2:44,44562.11399,0.526105982
1/1/22 2:44,44562.11433,0.504600905
1/1/22 2:45,44562.11468,0.537867884
1/1/22 2:45,44562.11503,0.59780544
1/1/22 2:46,44562.11538,0.629341362
1/1/22 2:46,44562.11573,0.59623073
1/1/22 2:47,44562.11607,0.585687651
1/1/22 2:47,44562.11642,0.610475185
1/1/22 2:48,44562.11677,0.474870096
1/1/22 2:48,44562.11712,0.519711647
1/1/22 2:49,44562.11747,0.569360754
1/1/22 2:49,44562.11781,0.5803115
1/1/22 2:50,44562.11816,0.546854983
1/1/22 2:50,44562.11851,0.494028617
1/1/22 2:51,44562.11886,0.527117485
1/1/22 2:51,44562.11921,0.476510225
1/1/22 2:52,44562.11956,0.518189852
1/1/22 2:52,44562.1199,0.666375028
1/1/22 2:55,44562.12202,0.546992631
1/1/22 2:56,44562.12237,0.675524675
1/1/22 2:56,44562.12272,0.671940119
1/1/22 2:57,44562.12307,0.658823021
1/1/22 2:57,44562.12342,0.542743985
1/1/22 2:58,44562.12377,0.594839721
1/1/22 2:58,44562.12412,0.516248635
1/1/22 2:59,44562.12446,0.610047186
1/1/22 2:59,44562.12481,0.501760574
1/1/22 3:00,44562.12516,0.555256277
1/1/22 3:00,44562.12551,0.584776817
1/1/22 3:01,44562.12586,0.549108624
1/1/22 3:01,44562.12621,0.501979441
1/1/22 3:02,44562.12656,0.512853944
1/1/22 3:02,44562.12691,0.484541042
1/1/22 3:03,44562.12726,0.526345902
1/1/22 3:18,44562.13796,0.628643344
1/1/22 3:19,44562.1383,0.496619689
1/1/22 3:19,44562.13865,0.526189072
1/1/22 3:20,44562.139,0.523835111
1/1/22 3:20,44562.13935,0.529623447
1/1/22 3:21,44562.1397,0.481488906
1/1/22 3:21,44562.14004,0.427498544
1/1/22 3:22,44562.14039,0.420052981
1/1/22 3:22,44562.14074,0.432635736
1/1/22 3:23,44562.14109,0.459307201
1/1/22 3:23,44562.14144,0.507062938
1/1/22 3:24,44562.14179,0.464931033
1/1/22 3:24,44562.14213,0.442370751
1/1/22 3:25,44562.14248,0.423982796
1/1/22 3:25,44562.14283,0.566175809
1/1/22 3:26,44562.14318,0.440819963
1/1/22 3:26,44562.14353,0.509946851
1/1/22 3:27,44562.14387,0.469927291
1/1/22 3:27,44562.14422,0.537868686
1/1/22 3:28,44562.14457,0.448854307
1/1/22 3:28,44562.14492,0.501751081
1/1/22 3:29,44562.14527,0.480896317
1/1/22 3:29,44562.14562,0.54875536
1/1/22 3:30,44562.14596,0.468088234
1/1/22 3:30,44562.14631,0.430491212
1/1/22 3:31,44562.14666,0.513583679
1/1/22 3:31,44562.14701,0.580459469
1/1/22 3:32,44562.14736,0.487470067
1/1/22 3:32,44562.1477,0.49808429
1/1/22 3:33,44562.14805,0.494858626
1/1/22 3:33,44562.1484,0.523219034
1/1/22 3:34,44562.14875,0.635136939
1/1/22 3:34,44562.1491,0.467868795
1/1/22 3:35,44562.14945,0.565146637
1/1/22 3:35,44562.14979,0.511731162
1/1/22 3:36,44562.15014,0.643562483
1/1/22 3:36,44562.15049,0.58090069
1/1/22 3:37,44562.15084,0.623463065
1/1/22 3:37,44562.15119,0.791750673
1/1/22 3:38,44562.15153,0.780568333
1/1/22 3:38,44562.15188,0.486781187
1/1/22 3:39,44562.15223,0.503275936
1/1/22 3:39,44562.15258,0.470554487
1/1/22 3:40,44562.15293,0.522128982
1/1/22 3:40,44562.15328,0.484038462
1/1/22 3:41,44562.15362,0.642831603
1/1/22 3:41,44562.15397,0.548150542
1/1/22 3:45,44562.15627,0.52201331
1/1/22 3:45,44562.15662,0.729255761
1/1/22 3:46,44562.15697,0.60953742
1/1/22 3:46,44562.15732,0.617988133
1/1/22 3:47,44562.15767,0.709138418
1/1/22 3:47,44562.15801,0.567482555
1/1/22 3:48,44562.15836,0.639754573
1/1/22 3:48,44562.15871,0.589707401
1/1/22 3:49,44562.15906,0.547373318
1/1/22 3:49,44562.15941,0.604750659
1/1/22 3:50,44562.15976,0.603154214
1/1/22 3:50,44562.1601,0.669862775
1/1/22 4:46,44562.19892,1.577089039
1/1/22 4:46,44562.19927,1.850795467
1/1/22 4:47,44562.19962,1.382408
1/1/22 4:47,44562.19997,1.254979842
